小问,噪声比例,风险排名Spearman均值,风险排名Spearman标准差,评级一致率均值,获贷集合Jaccard均值,预算重分配比例均值,预算重分配比例最大值,CVaR相对变化均值,CVaR相对变化最大绝对值
问题1,0.05,0.9972984999548569,0.0010225347445048647,,1.0,0.014329999999999999,0.022,,
问题1,0.1,0.9905615173285526,0.0032158085177227493,,1.0,0.025169999999999998,0.0464,,
问题2,0.05,0.9974679264658693,0.00041132194061171805,0.9610927152317881,0.9800470604587206,0.01365,0.0193,,
问题2,0.1,0.9918099316218489,0.0012072909299878137,0.9167218543046358,0.9552204283760328,0.028215,0.0395,,
问题3,0.05,0.9970098834497204,0.00031512998474576555,0.953476821192053,0.9627665414302825,0.012230000000000001,0.0173,0.0006028677980553508,0.013072402824865716
问题3,0.1,0.9888668994560978,0.0014867521556335365,0.9132450331125828,0.9284224863153396,0.02348,0.0368,0.0056748995355677765,0.02396147350484301
