情景,重优化成本_元,成本变化率_百分比,同情景无储能成本_元,同情景节费率_百分比,购电总量变化率_百分比,电池调度相对变化_百分比,全冻结缺电量_千瓦时,全冻结富余量_千瓦时,固定电池可行,固定电池补救成本_元,固定电池后悔率_百分比,固定电池不可吸收电量_千瓦时,独立回代最大违反量_千瓦时
负荷增加百分之十,42745.80855907043,21.689501262101867,54996.98360261201,22.276085416000395,19.014584463032257,23.356844871369066,11102.480810000012,0.0,True,43958.88474364231,2.837883351523298,0.0,1.1596057447604835e-11
光伏减少百分之十,38422.56109838365,9.38200621035631,50222.7169325215,23.49565406824239,9.679710129888797,19.12906982817889,5548.283566666669,2.8421709430404007e-13,True,39557.45468622779,2.953716658653145,0.0,4.774847184307873e-12
负荷增加且光伏减少百分之十,46572.76464220302,32.58414550458522,57845.47602806551,19.487628350388515,28.540943965044608,40.85583372994567,16650.76437666668,0.0,True,48389.390830580465,3.9006191758933357,0.0,5.0249582272954285e-11
负荷减少且光伏增加百分之十,26509.737003593043,-24.531625829494484,40231.49544227567,34.107005687548124,-24.27578837523371,40.195717012804224,0.0,16650.764376666666,False,,,858.6518783333324,7.958078640513122e-13
电价整体增加百分之十,38639.64345821859,9.999999997153177,52857.25124993133,26.898121743951283,3.6153746663103448e-09,5.4571849731622765e-08,6.0254023992456496e-12,3.524291969370097e-12,True,38639.6434592186,2.5880353051774085e-09,0.0,3.410605131648481e-12
电价整体减少百分之十,31614.25374036067,-9.999999997153177,43246.841931762,26.89812173974708,-4.418776455850093e-09,6.669863532984068e-08,6.0254023992456496e-12,3.524291969370097e-12,True,31614.25373936067,-3.163131246900492e-09,0.0,4.774847184307873e-12
