扰动类型,扰动幅度_百分比,情景数,成本变化均值_百分比,成本变化标准差_百分点,成本变化百分位2.5,成本变化百分位97.5,最大绝对成本变化_百分比,平均节费率_百分比,最小节费率_百分比,平均电池调度变化_百分比,全冻结平均缺电量_千瓦时,固定电池可行率_百分比,可行情景平均后悔率_百分比,可行情景最大后悔率_百分比,最大回代违反量_千瓦时
逐时段独立,5.0,100,0.03143139030110906,0.6020788745521188,-0.9789531762180242,1.1358050780017568,1.505749448609133,26.931757660581056,26.350483726735405,5.734925007777617,1629.311390112468,0.0,,,1.5006662579253316e-11
逐时段独立,10.0,100,0.1114187390383141,1.2127403613289212,-1.9355888567229587,2.338923687452806,3.1738254077981,27.066449731504072,25.87645918739416,10.853769216962371,3258.6227802249336,0.0,,,1.4779288903810084e-11
逐时段独立,20.0,100,0.41580696754424956,2.4681767439592783,-3.7232187509761197,5.0551181832848275,6.774736603534364,27.6197278100754,25.60658554846227,20.73278135725442,6517.245560449867,0.0,,,1.659827830735594e-11
一小时相关块,5.0,100,0.13095112797976124,1.7564050065353065,-2.997396296750059,3.4854013754140922,5.853797811701119,26.83348221325213,25.04263296232508,6.4487290759375355,1662.9916300825525,13.0,1.5589242648228732,2.3834715081916262,1.659827830735594e-11
一小时相关块,10.0,100,0.3470809645032382,3.541100756341272,-5.909937958575566,7.096985844751312,11.412041282210858,26.83768019542849,23.553606367087628,12.466786160155301,3325.9832601651037,13.0,3.010939808885653,4.367559482065183,1.659827830735594e-11
一小时相关块,20.0,100,1.0964601174500137,7.027801626480158,-11.535344959875895,14.762947642390792,21.3818081493812,27.03363199860145,21.001776416376558,24.174972332194333,6651.966520330207,9.0,5.569676212875976,7.725106990252505,1.318767317570746e-11
